text,difficulty,importance
prepare for homework worth the time,0.383,0.72
fix code review takes forever but skip it,0.716,0.055
go for walk small but worth doing,0.111,0.281
push report easy must do,0.12,0.94
have doctor appointment difficult urgent,0.704,0.933
prepare for assignment hard zero payoff,0.733,0.137
have standup needs attention,0.432,0.552
work on documentation easy but critical,0.09,0.873
ship report kinda hard kinda matters,0.476,0.518
run interview straightforward,0.105,0.168
complete performance review hard critical,0.563,0.898
work on report extremely hard life or death,0.913,0.934
complete report decent effort important,0.301,0.58
take care of cleaning difficult urgent,0.72,0.895
have slides should prioritize,0.327,0.571
finish dusting easy nothing to stress,0.052,0.072
refactor performance review moderate nothing special,0.42,0.399
complete email considerable effort,0.598,0.502
prepare for meeting easy no effort,0.028,0.105
have interview quite demanding,0.555,0.456
do assignment easy but critical,0.147,0.87
complete report fairly important,0.318,0.613
lead presentation quick but matters,0.109,0.699
push documentation should prioritize,0.321,0.749
review documentation difficult pointless,0.688,0.076
debugging a race condition that never happens,0.75,0.12
finish dusting medium effort,0.465,0.387
review assignment easy but critical,0.067,0.805
do run someday task,0.357,0.245
do vacuuming massive effort basically useless,0.743,0.15
review exam prep tough no benefit,0.646,0.095
do exam prep technically hard completely optional,0.646,0.175
do meditation not difficult,0.198,0.364
do workout should prioritize,0.333,0.635
attend sprint planning extremely complex critical,0.817,0.874
finish dusting easy very important,0.163,0.844
submit budget requires focus,0.382,0.619
do medication hard doesn't matter,0.628,0.097
go through study session thirty seconds can't skip,0.098,0.953
finish email fair amount of work,0.4,0.375
get checkup moderate effort,0.394,0.492
complete budget thirty seconds can't skip,0.094,0.966
get checkup technically hard completely optional,0.752,0.151
have interview demanding critical,0.657,0.852
go for meditation hard cannot miss,0.695,0.915
do expense report not important but hard,0.756,0.164
fill out invoice not hard but important,0.183,0.674
file expense report neither easy nor hard,0.568,0.536
attend meeting hard demanding,0.753,0.709
complete taxes tough no benefit,0.649,0.149
attend interview hard nobody cares,0.758,0.068
fill out taxes one click very important,0.054,0.921
go to presentation technically hard completely optional,0.766,0.154
finish cleaning by noon,0.348,0.303
go through study session quick but important,0.136,0.778
refactor deployment tough challenging,0.669,0.652
have interview this evening,0.221,0.205
finish cooking not hard but important,0.14,0.667
review exam prep if time allows,0.359,0.283
go to retrospective complex nobody asked for,0.729,0.128
have medication important needs focus,0.499,0.754
have doctor appointment small but worth doing,0.168,0.239
run sprint planning complex very important,0.687,0.917
work on documentation extremely hard life or death,0.85,0.96
join standup quick but important,0.125,0.782
write performance review hard demanding,0.785,0.63
take care of shopping extremely hard life or death,0.902,0.998
get dusting takes no time top priority,0.031,0.849
finish dishes quick urgent,0.091,0.853
debug report quick and easy,0.072,0.167
refactor documentation draining but irrelevant,0.76,0.117
have slides quite demanding,0.507,0.514
file timesheet whenever,0.352,0.166
go to doctor appointment quick but important,0.053,0.893
get cooking simple worth doing,0.086,0.528
finish assignment takes some effort,0.429,0.331
fix unit testing takes forever but skip it,0.823,0.119
have team standup difficult pointless,0.776,0.119
mandatory unit testing,0.424,0.91
easy groceries session,0.177,0.109
file invoice quick doesn't matter,0.081,0.064
handle groceries requires focus,0.488,0.595
do meditation decent amount of work,0.519,0.339
review reading draining but irrelevant,0.698,0.078
join team standup difficult urgent,0.715,0.93
go to dentist standard routine,0.498,0.365
do budget before lunch,0.294,0.299
run team standup not urgent,0.286,0.215
push code review simple worth doing,0.127,0.582
join retrospective background task,0.444,0.2
submit invoice takes forever but skip it,0.742,0.108
debug deployment exhausting low stakes,0.607,0.184
have retrospective extremely complex critical,0.856,0.899
go for yoga hard zero payoff,0.684,0.058
complete taxes one click very important,0.088,0.872
hard deployment session,0.746,0.696
do cooking difficult needs doing,0.669,0.569
lead retrospective extremely hard life or death,0.942,0.924
finish assignment fairly important,0.354,0.526
complete unit testing massive effort basically useless,0.792,0.134
go through homework exhausting low stakes,0.703,0.167
push performance review low priority,0.442,0.192
review exam prep simple pointless,0.06,0.093
have call with client thirty seconds can't skip,0.051,0.953
go to dentist extremely complex critical,0.864,0.885
do assignment next week,0.375,0.306
finish code review barely any effort extremely important,0.146,0.866
go for workout hard doesn't matter,0.715,0.129
review unit testing routine low stakes,0.241,0.216
go for yoga complex very important,0.752,0.858
file expense report easy but critical,0.139,0.948
take care of groceries decent amount of work,0.385,0.336
go through assignment simple critical,0.171,0.939
run meeting hard zero payoff,0.629,0.134
go to meeting complex nobody asked for,0.686,0.14
prepare for presentation hard doesn't matter,0.694,0.173
do walk considerable effort,0.578,0.406
go for yoga difficult urgent,0.722,0.943
go through homework minor task,0.181,0.304
lead presentation before lunch,0.311,0.225
complete code review trivial but high stakes,0.072,0.888
easy unit testing,0.083,0.238
debug unit testing not hard but important,0.186,0.613
run sprint planning takes forever but skip it,0.808,0.103
do taxes easy simple,0.135,0.197
push documentation quick urgent,0.149,0.933
study for study session trivial but high stakes,0.073,0.84
take care of cleaning nice to have,0.345,0.362
go for yoga demanding critical,0.696,0.932
push performance review simple urgent need,0.171,0.892
file expense report should prioritize,0.348,0.648
go to networking event brutal intense,0.855,0.858
take care of dusting quick can't miss,0.138,0.878
do expense report hard very important,0.686,0.842
finish dishes quite demanding,0.676,0.412
lead retrospective not hard but important,0.151,0.73
have presentation no rush,0.349,0.208
take care of shopping fairly important,0.327,0.635
submit timesheet hard quite important,0.647,0.749
finish documentation decent effort important,0.371,0.558
work on documentation decent effort important,0.383,0.72
go for workout whenever,0.342,0.229
do budget not difficult,0.138,0.263
handle shopping kinda hard kinda matters,0.594,0.596
complete budget not difficult,0.188,0.349
file taxes massive effort basically useless,0.739,0.065
have team standup one click very important,0.073,0.904
do cooking moderate doesn't matter,0.378,0.161
do yoga easy nothing to stress,0.058,0.061
do invoice easy but critical,0.132,0.92
have meeting one click very important,0.055,0.868
prepare for presentation draining but irrelevant,0.66,0.098
review report considerable effort,0.575,0.401
file taxes not difficult,0.152,0.313
ship documentation hard critical,0.742,0.874
refactor unit testing easy but critical,0.052,0.814
finish assignment easy but critical,0.135,0.815
fill out timesheet grueling most important,0.876,0.95
push unit testing quick and simple,0.073,0.197
lead retrospective complex very important,0.791,0.871
review report tough no benefit,0.708,0.1
do budget thirty seconds can't skip,0.089,0.943
file taxes demanding critical,0.624,0.933
fix deployment massive effort basically useless,0.847,0.141
write unit testing important needs focus,0.483,0.745
do run takes no time top priority,0.038,0.87
pointless unit testing,0.213,0.158
handle shopping one click very important,0.053,0.869
finish reading minor task,0.18,0.218
do exam prep fair amount of work,0.525,0.543
run meeting medium difficulty medium stakes,0.489,0.442
submit invoice easy simple,0.123,0.197
prepare for homework small but worth doing,0.156,0.398
refactor unit testing needs attention,0.459,0.57
study for reading brutal intense,0.895,0.911
push report easy moderate important,0.084,0.564
complete code review requires focus,0.385,0.54
prepare for exam prep extremely hard life or death,0.91,0.91
get doctor appointment quick nothing important,0.095,0.065
submit expense report kinda hard kinda matters,0.508,0.564
finish vacuuming easy very important,0.142,0.856
get dentist hard waste of time,0.793,0.113
go to retrospective worth the time,0.452,0.66
do walk fair amount of work,0.54,0.464
do run hard needs focus,0.669,0.596
go to retrospective hard doesn't matter,0.659,0.129
go for stretch easy very important,0.132,0.917
go for run extremely complex critical,0.881,0.865
study for assignment tough urgent must do,0.737,0.881
have meeting grueling most important,0.862,0.933
go to sprint planning small but worth doing,0.231,0.357
go for meditation worth the time,0.49,0.718
do meditation takes no time top priority,0.088,0.924
work on documentation tough challenging,0.592,0.549
attend standup considerable effort,0.508,0.365
finish cooking decent work reasonable priority,0.474,0.491
do budget this evening,0.229,0.304
get laundry fairly important,0.324,0.512
finish laundry background task,0.28,0.254
get cooking easy no effort,0.043,0.084
do groceries regular task,0.457,0.468
do stretch takes some effort,0.52,0.444
do exam prep quick nothing important,0.052,0.146
have slides hard waste of time,0.753,0.108
do dusting non trivial,0.474,0.339
review assignment fairly important,0.398,0.673
complete documentation easy low importance,0.099,0.237
lead team standup barely any effort extremely important,0.112,0.855
finish homework demanding critical,0.63,0.926
go to slides hard critical,0.702,0.875
do cleaning simple enough,0.12,0.131
fix documentation light and simple,0.129,0.182
go for walk quick and simple,0.095,0.116
review unit testing hard doesn't matter,0.73,0.077
prepare for presentation minor task,0.176,0.201
fix performance review hard quite important,0.603,0.77
write performance review takes no time top priority,0.043,0.844
refactor report hard waste of time,0.754,0.07
run interview considerable effort,0.462,0.454
go to interview brutal intense,0.827,0.849
do dusting draining but irrelevant,0.719,0.136
do budget trivial but high stakes,0.06,0.919
finish vacuuming fairly important,0.375,0.59
review performance review trivial but high stakes,0.088,0.899
prepare for meeting tough urgent must do,0.667,0.874
take care of laundry non trivial,0.575,0.437
push documentation hard very important,0.722,0.863
do meditation fairly important,0.37,0.635
do timesheet takes forever but skip it,0.667,0.057
study for exam prep not hard but important,0.161,0.732
complete performance review not urgent,0.368,0.278
have doctor appointment hard cannot miss,0.645,0.946
finish homework moderately important,0.254,0.533
join networking event thirty seconds can't skip,0.1,0.878
review exam prep kinda hard kinda matters,0.465,0.597
lead team standup difficult urgent,0.582,0.938
do cooking regular task,0.377,0.404
work on report worthwhile effort,0.356,0.631
lead standup hard zero payoff,0.697,0.147
have medication quick but important,0.088,0.791
prepare for homework decent work reasonable priority,0.528,0.48
review performance review fair amount of work,0.545,0.447
finish dishes quick but matters,0.134,0.579
the entire company depends on this one thing,0.4,0.95
complete budget by noon,0.284,0.444
world ends if I don't do this,0.3,1.0
go to doctor appointment technically hard completely optional,0.795,0.145
ship performance review regular task,0.46,0.323
work on performance review needs attention,0.477,0.716
have call with client tough urgent must do,0.637,0.853
study for reading non trivial,0.51,0.428
finish unit testing takes no time top priority,0.111,0.8
do timesheet quick urgent,0.113,0.869
do meditation not hard but important,0.228,0.779
do budget simple pointless,0.026,0.039
go to call with client draining but irrelevant,0.769,0.075
finish vacuuming massive effort basically useless,0.827,0.149
go for walk technically hard completely optional,0.769,0.086
have sprint planning someday task,0.358,0.203
do yoga whenever,0.47,0.218
get cooking not easy not important,0.572,0.41
take care of vacuuming needs reasonable effort,0.343,0.498
run slides important needs focus,0.435,0.605
file budget extremely hard life or death,0.928,0.945
go for yoga exhausting low stakes,0.614,0.126
do study session hard demanding,0.614,0.622
do vacuuming hard waste of time,0.613,0.134
prepare for study session worthwhile effort,0.447,0.68
prepare for sprint planning important needs focus,0.442,0.619
join call with client takes no time,0.008,0.102
go to medication light and simple,0.116,0.197
refactor performance review non trivial,0.453,0.302
get dentist technically hard completely optional,0.677,0.13
do stretch extremely hard life or death,0.812,0.949
lead team standup easy moderate important,0.179,0.586
finish report hard zero payoff,0.665,0.134
refactor unit testing hard demanding,0.731,0.652
do workout important needs focus,0.448,0.791
do assignment quite demanding,0.545,0.557
get laundry considerable effort,0.578,0.362
easy standup session,0.098,0.154
finish cooking worth the time,0.415,0.663
get dusting difficult pointless,0.711,0.066
finish cooking hard nobody cares,0.714,0.096
go for run hard nobody cares,0.678,0.081
complete taxes difficult needs doing,0.627,0.586
go to retrospective quick low value,0.139,0.283
go for stretch fairly important,0.298,0.644
take care of laundry requires focus,0.497,0.519
complete timesheet hard zero payoff,0.656,0.098
finish study session in the morning,0.377,0.375
get medication considerable effort,0.598,0.496
fix performance review hard very important,0.555,0.946
lead presentation easy very important,0.117,0.922
go through assignment considerable effort,0.541,0.382
lead presentation kinda hard kinda matters,0.472,0.528
get doctor appointment quick can't miss,0.09,0.941
have checkup hard nobody cares,0.613,0.081
go for yoga fairly important,0.371,0.595
fix code review quick urgent,0.109,0.892
do shopping neither easy nor hard,0.535,0.483
fix performance review hard needs focus,0.745,0.602
have checkup hard hard,0.605,0.692
work on unit testing quick low value,0.166,0.251
prepare for sprint planning hard very important,0.714,0.895
have doctor appointment takes no time top priority,0.054,0.912
do laundry needs reasonable effort,0.328,0.535
complete timesheet decent work reasonable priority,0.487,0.444
have interview quick nothing important,0.079,0.096
have slides brutal intense,0.801,0.942
study for reading hard needs focus,0.651,0.701
study for homework minor task,0.235,0.289
fix email requires focus,0.49,0.644
complete invoice hard doesn't matter,0.667,0.051
go through assignment quite demanding,0.624,0.587
do yoga quite demanding,0.633,0.48
do cleaning simple critical,0.111,0.894
do cooking not hard but important,0.243,0.784
go to retrospective easy no effort,0.0,0.095
fill out budget draining but irrelevant,0.762,0.128
have checkup quite demanding,0.517,0.438
do medication should prioritize,0.413,0.731
have networking event low priority,0.386,0.19
file expense report small but worth doing,0.13,0.24
finish dusting not hard but important,0.233,0.71
prepare for assignment hard very important,0.664,0.919
review email simple urgent need,0.09,0.907
submit expense report somewhat challenging,0.434,0.409
do groceries simple worth doing,0.2,0.534
go for gym session hard zero payoff,0.622,0.082
complete report not difficult,0.18,0.32
do taxes hard waste of time,0.736,0.097
do expense report massive effort basically useless,0.876,0.114
do dishes important moderate effort,0.448,0.613
attend team standup not important but hard,0.706,0.228
push documentation hard cannot miss,0.634,0.905
complete email takes forever but skip it,0.757,0.11
get laundry hard nobody cares,0.718,0.166
prepare for slides extremely complex critical,0.898,0.929
work on report barely any effort extremely important,0.139,0.881
finish study session tough no benefit,0.636,0.129
join interview considerable effort,0.554,0.502
finish study session barely any effort extremely important,0.109,0.942
fill out expense report if time allows,0.371,0.273
do workout moderate effort,0.398,0.483
do yoga hard critical,0.678,0.914
prepare for interview decent amount of work,0.374,0.484
write deployment not important but hard,0.784,0.195
get doctor appointment quite demanding,0.533,0.47
have meeting easy nothing to stress,0.102,0.14
do stretch this evening,0.354,0.244
do shopping not easy not important,0.444,0.303
complete taxes hard very important,0.656,0.902
have call with client non trivial,0.489,0.428
go to dentist draining but irrelevant,0.715,0.114
finish laundry quite demanding,0.671,0.501
prepare for exam prep grueling most important,0.89,0.933
have call with client kinda hard kinda matters,0.487,0.522
review documentation not important but hard,0.614,0.288
lead slides not important but hard,0.77,0.22
run sprint planning extremely hard life or death,0.904,0.96
take care of laundry easy moderate important,0.14,0.506
have medication moderately important,0.438,0.508
review unit testing thirty seconds can't skip,0.077,0.932
debug performance review medium priority,0.394,0.554
do meditation difficult pointless,0.627,0.134
refactor report hard critical,0.735,0.852
refactor documentation exhausting low stakes,0.648,0.108
submit taxes quick but important,0.148,0.811
do cooking tough urgent must do,0.661,0.863
take care of cleaning grueling most important,0.965,0.915
review code review should prioritize,0.34,0.695
prepare for meeting before lunch,0.251,0.202
work on report fair amount of work,0.427,0.459
have doctor appointment kinda hard kinda matters,0.491,0.581
join team standup important needs focus,0.435,0.747
join presentation hard waste of time,0.6,0.127
run team standup draining but irrelevant,0.724,0.105
finish email easy no effort,0.058,0.143
have retrospective easy but critical,0.071,0.888
go for meditation difficult urgent,0.642,0.85
finish documentation should prioritize,0.386,0.596
prepare for slides neither easy nor hard,0.435,0.427
do budget difficult urgent,0.719,0.906
prepare for call with client needs attention,0.421,0.698
join call with client not hard but important,0.139,0.769
hard expense report,0.559,0.656
go for gym session solid mid level task,0.412,0.594
ship unit testing tough challenging,0.673,0.506
review study session massive effort basically useless,0.739,0.145
study for exam prep should take some time,0.54,0.497
attend call with client worthwhile effort,0.43,0.605
attend call with client hard demanding,0.626,0.562
prepare for assignment hard nobody cares,0.632,0.062
prepare for presentation trivial but high stakes,0.065,0.899
go through study session simple critical,0.092,0.904
finish study session kinda hard kinda matters,0.586,0.556
attend standup easy very important,0.092,0.824
debug documentation if time allows,0.485,0.228
do homework non trivial,0.585,0.415
review report exhausting low stakes,0.735,0.089
go for yoga hard hard,0.634,0.612
go to standup brutal intense,0.912,0.817
push performance review simple critical,0.104,0.969
study for study session extremely complex critical,0.784,0.926
run retrospective low priority,0.384,0.227
do stretch quick doesn't matter,0.083,0.029
complete unit testing hard cannot miss,0.792,0.857
finish cleaning hard demanding,0.712,0.742
review study session quick and simple,0.133,0.118
do study session difficult needs doing,0.575,0.689
finish homework simple enough,0.174,0.213
go to slides demanding critical,0.663,0.894
do doctor appointment hard demanding,0.754,0.625
attend standup difficult pointless,0.616,0.072
go to retrospective tough challenging,0.7,0.559
go for walk hard critical,0.726,0.913
do dusting demanding critical,0.731,0.884
have standup can wait,0.343,0.224
have standup takes forever but skip it,0.787,0.099
complete email demanding critical,0.629,0.924
have meeting can wait,0.367,0.235
prepare for interview decent priority,0.379,0.501
go to medication draining but irrelevant,0.789,0.064
join retrospective at 6am,0.254,0.362
submit invoice decent work reasonable priority,0.495,0.451
do shopping difficult urgent,0.613,0.947
take care of vacuuming easy simple,0.196,0.195
ship report easy very important,0.087,0.88
join meeting requires focus,0.533,0.562
complete code review if time allows,0.491,0.304
submit taxes hard quite important,0.551,0.761
submit expense report massive effort basically useless,0.847,0.057
do workout easy moderate important,0.123,0.617
prepare for exam prep decent work reasonable priority,0.473,0.474
get dentist difficult needs doing,0.644,0.74
have doctor appointment technically hard completely optional,0.708,0.081
do shopping non trivial,0.592,0.312
do cooking simple worth doing,0.138,0.632
have checkup quick but important,0.052,0.876
do expense report hard critical,0.581,0.858
go for yoga trivial but high stakes,0.109,0.874
go to checkup requires focus,0.481,0.561
go through study session trivial but high stakes,0.134,0.949
do dentist quick but important,0.074,0.826
work on email draining but irrelevant,0.791,0.104
go for run light and simple,0.131,0.148
finish dishes complex very important,0.761,0.886
take care of shopping on Monday,0.368,0.321
do medication extreme critical,0.886,0.915
get vacuuming easy must do,0.161,0.937
join slides hard zero payoff,0.76,0.053
study for reading kinda hard kinda matters,0.482,0.585
finish performance review technically hard completely optional,0.701,0.167
finish exam prep exhausting low stakes,0.642,0.137
complete invoice brutal intense,0.942,0.909
do laundry draining but irrelevant,0.778,0.116
prepare for reading whenever,0.436,0.263
complete deployment technically hard completely optional,0.659,0.098
fill out taxes considerable effort,0.571,0.402
do run barely any effort extremely important,0.147,0.942
submit invoice tomorrow,0.236,0.312
do homework quick urgent,0.121,0.916
join team standup takes forever but skip it,0.717,0.127
finish unit testing can wait,0.394,0.342
finish performance review considerable effort,0.505,0.506
fix deployment hard quite important,0.729,0.715
refactor code review if time allows,0.481,0.275
go to medication should prioritize,0.317,0.589
finish vacuuming quick and simple,0.083,0.122
finish vacuuming not important but hard,0.685,0.161
do walk massive effort basically useless,0.718,0.142
complete expense report fair amount of work,0.356,0.404
fix documentation difficult pointless,0.666,0.151
join standup hard needs focus,0.619,0.743
finish report easy moderate important,0.153,0.601
go to slides easy no big deal,0.179,0.161
go for yoga important needs focus,0.446,0.749
do homework medium priority,0.335,0.562
submit budget not hard but important,0.241,0.729
handle groceries someday task,0.307,0.294
do groceries quite demanding,0.646,0.451
go to doctor appointment tiny task major impact,0.074,0.813
do medication tough challenging,0.664,0.501
run presentation someday task,0.354,0.247
finish dishes quick and easy,0.02,0.142
push documentation moderately important,0.346,0.526
attend slides tough no benefit,0.628,0.101
debug email hard critical,0.585,0.936
do meditation draining but irrelevant,0.68,0.078
take care of cooking extremely hard life or death,0.906,0.943
do laundry thirty seconds can't skip,0.111,0.886
take care of dishes hard critical,0.651,0.886
get cleaning someday task,0.263,0.348
finish assignment requires focus,0.401,0.584
hardest thing i've ever done and it means everything,0.95,0.98
go for meditation brutal intense,0.898,0.899
prepare for sprint planning exhausting low stakes,0.626,0.096
take care of cleaning quick urgent,0.148,0.934
do checkup takes some effort,0.537,0.446
run retrospective simple critical,0.14,0.85
finish assignment takes forever but skip it,0.678,0.143
do run medium priority,0.462,0.577
finish cooking hard cannot miss,0.628,0.902
study for homework hard critical,0.71,0.92
lead slides not easy not important,0.572,0.387
review unit testing complex nobody asked for,0.66,0.133
take care of groceries not easy not important,0.562,0.389
run networking event low priority,0.315,0.208
lead networking event tough no benefit,0.61,0.148
have interview tomorrow,0.333,0.387
run standup not hard but important,0.14,0.698
join standup hard very important,0.705,0.849
prepare for meeting hard hard,0.724,0.568
do shopping if time allows,0.435,0.285
refactor documentation next week,0.381,0.259
write deployment easy no big deal,0.095,0.131
get dentist hard needs focus,0.616,0.604
finish exam prep considerable effort,0.458,0.458
go to call with client difficult needs doing,0.563,0.735
handle groceries easy very important,0.159,0.881
finish cleaning on Monday,0.379,0.249
debug code review hard quite important,0.593,0.622
do medication barely any effort extremely important,0.102,0.969
go to retrospective worthwhile effort,0.353,0.628
work on unit testing easy must do,0.083,0.804
lead team standup should prioritize,0.389,0.658
attend retrospective needs attention,0.313,0.611
moderate expense report,0.464,0.35
work on unit testing neither easy nor hard,0.462,0.538
join team standup easy should do,0.083,0.551
prepare for assignment quick can't miss,0.081,0.948
lead team standup hard zero payoff,0.749,0.076
refactor documentation non trivial,0.565,0.414
go for workout quick but matters,0.159,0.584
do groceries small but worth doing,0.221,0.293
review email not difficult,0.247,0.271
go for workout takes no time top priority,0.051,0.909
go to call with client requires focus,0.491,0.504
attend call with client hard zero payoff,0.799,0.107
have meeting extremely hard life or death,0.82,0.98
go for run takes forever but skip it,0.814,0.135
fix performance review tough urgent must do,0.763,0.947
ship email requires focus,0.428,0.678
go through reading not urgent,0.413,0.152
file taxes difficult pointless,0.781,0.146
study for homework non trivial,0.553,0.459
do invoice massive effort basically useless,0.869,0.091
do stretch light and simple,0.076,0.11
prepare for study session extremely hard life or death,0.897,0.951
have presentation hard nobody cares,0.781,0.073
finish exam prep not important but hard,0.729,0.287
prepare for homework takes forever but skip it,0.659,0.118
prepare for exam prep worth the time,0.47,0.627
finish study session quick can't miss,0.073,0.947
have doctor appointment before lunch,0.232,0.226
finish documentation hard quite important,0.626,0.679
finish code review considerable effort,0.467,0.452
do expense report if time allows,0.332,0.245
have doctor appointment hard hard,0.633,0.636
get dusting can wait,0.359,0.346
hard assignment session,0.684,0.539
have dentist decent priority,0.441,0.533
finish study session difficult needs doing,0.651,0.711
go for run hardest thing ever very important,0.865,0.971
go to networking event nice to have,0.377,0.229
fix email exhausting low stakes,0.681,0.15
push deployment this evening,0.233,0.259
file timesheet easy but critical,0.098,0.858
do vacuuming nice to have,0.295,0.241
do workout hardest thing ever very important,0.949,0.9
run slides takes no time top priority,0.059,0.93
push documentation straightforward,0.102,0.164
do workout minor task,0.349,0.319
file taxes barely any effort extremely important,0.079,0.967
do homework low priority,0.405,0.265
prepare for reading hard quite important,0.561,0.603
do budget decent work reasonable priority,0.446,0.53
push email quite demanding,0.587,0.546
write email not hard but important,0.223,0.639
do dentist tough challenging,0.561,0.699
ship unit testing quite demanding,0.53,0.504
complete timesheet nice to have,0.232,0.326
attend interview hard zero payoff,0.632,0.079
push deployment extremely hard life or death,0.942,0.972
study for assignment on Monday,0.366,0.245
do invoice quick and simple,0.121,0.101
attend standup not hard but important,0.115,0.601
go to retrospective medium priority,0.393,0.685
ship documentation decent effort important,0.332,0.603
take care of vacuuming this week,0.405,0.448
study for exam prep easy but critical,0.123,0.806
ship report quick can't miss,0.115,0.888
go for meditation hard demanding,0.615,0.617
fill out timesheet brutal intense,0.884,0.928
quick code review,0.096,0.183
finish unit testing next week,0.356,0.309
prepare for exam prep hard doesn't matter,0.676,0.098
finish unit testing takes forever but skip it,0.843,0.081
push report tomorrow,0.221,0.253
write report takes no time top priority,0.036,0.84
join presentation hard doesn't matter,0.569,0.119
do shopping easy but critical,0.056,0.809
take care of groceries easy very important,0.171,0.824
complete unit testing hard needs focus,0.601,0.747
do cleaning non trivial,0.492,0.415
submit invoice complex very important,0.736,0.938
finish cooking hard quite important,0.607,0.644
get dishes takes forever but skip it,0.786,0.091
do gym session thirty seconds can't skip,0.066,0.912
mandatory study session,0.424,0.928
do run not urgent,0.333,0.269
take care of dishes fair amount of work,0.549,0.442
do workout someday task,0.352,0.25
finish cooking regular task,0.345,0.353
run sprint planning on Monday,0.254,0.282
do dusting not important,0.256,0.157
take care of cooking tomorrow,0.211,0.282
do reading minor task,0.234,0.331
review documentation quick can't miss,0.078,0.947
go to call with client considerable effort,0.453,0.509
work on deployment needs reasonable effort,0.352,0.407
run retrospective hard quite important,0.581,0.615
go to standup hard waste of time,0.718,0.078
complete budget tough challenging,0.586,0.625
have presentation middle of the road,0.433,0.555
go to slides massive effort basically useless,0.846,0.053
take care of groceries easy nothing to stress,0.096,0.057
run team standup hard quite important,0.731,0.624
join standup tough urgent must do,0.797,0.895
review exam prep extreme critical,0.838,0.946
submit timesheet hard doesn't matter,0.638,0.108
go to presentation by noon,0.268,0.34
ship documentation moderate nothing special,0.325,0.313
go for run solid mid level task,0.406,0.562
lead interview not difficult,0.132,0.273
write email not important but hard,0.713,0.201
join call with client exhausting low stakes,0.618,0.174
review study session at 6am,0.304,0.226
fill out budget should take some time,0.534,0.36
go for yoga kinda hard kinda matters,0.557,0.556
do walk complex nobody asked for,0.556,0.15
complete invoice takes no time top priority,0.109,0.897
take care of cleaning barely any effort extremely important,0.079,0.918
finish exam prep hard demanding,0.713,0.633
submit budget can wait,0.219,0.207
refactor deployment not important but hard,0.649,0.172
fix performance review hard cannot miss,0.724,0.948
get cleaning massive effort basically useless,0.759,0.123
go for stretch trivial but high stakes,0.069,0.886
do shopping massive effort basically useless,0.747,0.136
have doctor appointment easy must do,0.132,0.95
work on email not a priority,0.208,0.258
run team standup decent priority,0.306,0.549
do dentist difficult needs doing,0.695,0.726
review code review this week,0.453,0.409
do dishes brutal intense,0.937,0.812
tough exam prep,0.724,0.527
go for stretch important moderate effort,0.397,0.715
take care of dusting kinda hard kinda matters,0.552,0.588
go to checkup non trivial,0.476,0.419
handle shopping barely any effort extremely important,0.06,0.968
have dentist considerable effort,0.585,0.375
fill out budget standard routine,0.415,0.463
review documentation hard waste of time,0.729,0.128
do vacuuming medium priority,0.305,0.619
go through study session quick urgent,0.113,0.947
run standup takes forever but skip it,0.72,0.066
do stretch takes no time top priority,0.081,0.816
review documentation hard nobody cares,0.701,0.168
fill out timesheet hard hard,0.669,0.655
get cooking minor task,0.35,0.261
have checkup hard zero payoff,0.79,0.085
lead team standup complex nobody asked for,0.623,0.142
join call with client grueling most important,0.927,0.943
debug unit testing easy low importance,0.138,0.253
lead sprint planning simple urgent need,0.099,0.922
write performance review fairly important,0.348,0.503
do groceries barely any effort extremely important,0.076,0.971
file expense report quick but important,0.092,0.859
study for exam prep hard cannot miss,0.672,0.929
debug deployment thirty seconds can't skip,0.098,0.851
have presentation tough urgent must do,0.604,0.926
join networking event extremely hard life or death,0.804,0.976
lead call with client minor task,0.299,0.297
get dusting grueling most important,0.953,0.928
complete expense report complex nobody asked for,0.691,0.119
review reading important needs focus,0.525,0.795
do meditation quick but important,0.134,0.754
attend team standup extreme critical,0.813,0.87
get vacuuming quite demanding,0.518,0.562
go for stretch exhausting low stakes,0.775,0.103
review exam prep not important,0.37,0.274
go to dentist massive effort basically useless,0.854,0.083
review study session decent work reasonable priority,0.418,0.575
attend slides difficult urgent,0.708,0.819
take care of cleaning should take some time,0.412,0.332
do homework no rush,0.468,0.201
join sprint planning should prioritize,0.342,0.552
run interview tomorrow,0.361,0.299
work on report tough no benefit,0.636,0.105
push deployment technically hard completely optional,0.65,0.155
do exam prep difficult needs doing,0.741,0.506
go for workout tonight,0.201,0.276
work on unit testing this week,0.43,0.405
take care of shopping hard zero payoff,0.671,0.116
work on performance review not critical should do,0.372,0.405
do workout takes forever but skip it,0.746,0.074
get checkup fair amount of work,0.515,0.39
go to checkup tonight,0.27,0.392
finish vacuuming hardest thing ever very important,0.956,0.94
attend sprint planning takes forever but skip it,0.66,0.06
do walk neither easy nor hard,0.557,0.513
debug code review important moderate effort,0.326,0.793
do dentist hard demanding,0.604,0.621
finish exam prep hard zero payoff,0.708,0.069
get laundry worthwhile effort,0.34,0.605
complete code review somewhat challenging,0.542,0.501
take care of dishes hard cannot miss,0.743,0.925
do run not hard but important,0.103,0.616
take care of dishes not urgent,0.409,0.203
do dishes easy moderate important,0.133,0.553
review homework technically hard completely optional,0.607,0.175
get vacuuming decent effort important,0.365,0.723
handle shopping extreme critical,0.894,0.892
go to interview exhausting low stakes,0.733,0.15
go to meeting quite demanding,0.531,0.505
